BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO;LEERWEG VMBO;VMBO SECTOR;AFDELING;EXAMENKANDIDATEN;GESLAAGDEN;GEZAKTEN;GEMIDDELD CIJFER SCHOOLEXAMEN;GEMIDDELD CIJFER CENTRAAL EXAMEN;GEMIDDELD CIJFER CIJFERLIJST
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Cultuur en Maatschappij;8;7;1;6,1;5,8;6,2
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij;22;15;7;6,0;5,9;6,1
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;5;4;1;5,9;5,8;6,0
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Gezondheid;36;24;12;6,1;6,0;6,3
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek;7;7;0;6,3;6,5;6,5
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;14;11;3;6,2;6,4;6,3
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij;5;5;0;7,0;7,0;7,1
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;8;8;0;6,8;6,3;6,7
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Gezondheid;14;9;5;6,4;6,0;6,4
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek;7;7;0;7,0;7,0;7,1
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;22;20;2;6,7;6,3;6,7
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Cultuur en Maatschappij;9;7;2;6,3;6,0;6,4
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij;27;23;4;6,3;6,2;6,4
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;2;1;6,6;6,1;6,5
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Natuur en Gezondheid;20;13;7;6,1;5,8;6,2
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;22;22;0;6,7;6,7;6,8
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VMBO;TL;;;103;85;18;6,5;6,1;6,5
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Cultuur en Maatschappij;3;2;1;6,5;6,0;6,5
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij;11;8;3;6,5;6,2;6,6
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;2;2;0;7,3;6,7;7,2
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Natuur en Gezondheid;7;6;1;6,6;6,2;6,7
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek;1;1;0;6,2;5,7;6,0
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;9;9;0;6,6;6,5;6,7
00AH;00AH08;loc, De stedelijke Mavo;ENSCHEDE;Overijssel;VMBO;TL;;;39;37;2;6,3;6,5;6,6
00AH;00AH09;locatie, Innova;ENSCHEDE;Overijssel;VMBO;TL;;;21;12;9;6,1;5,7;6,1
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Economie;Consumptief Breed -ISP;7;7;0;6,4;6,7;6,5
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Economie;Handel en Administratie -ISP;4;4;0;6,5;6,8;6,7
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Intersect. programma;Sport, Dienstverlening en Veiligheid;19;19;0;6,3;6,5;6,4
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Grafische Techniek;2;2;0;6,2;6,5;6,5
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Techniek Breed -ISP;21;19;2;6,1;6,2;6,2
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Zorg & Welzijn;Zorg en Welzijn -ISP;26;25;1;6,4;6,4;6,4
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Economie;Consumptief Breed -ISP;4;4;0;6,7;6,1;6,5
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Economie;Handel en Administratie -ISP;5;5;0;6,6;6,3;6,6
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Intersect. programma;ICT -route;19;19;0;6,4;6,4;6,4
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Intersect. programma;Sport, Dienstverlening en Veiligheid;24;24;0;6,4;6,2;6,4
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Techniek;Grafische Techniek;11;9;2;6,6;6,2;6,5
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Techniek;Techniek Breed -ISP;19;19;0;6,5;6,3;6,5
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Zorg & Welzijn;Zorg en Welzijn -ISP;35;32;3;6,3;6,0;6,3
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;HAVO;;;Cultuur en Maatschappij;5;5;0;6,5;6,5;6,6
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;HAVO;;;Economie en Maatschappij;15;14;1;6,4;6,6;6,6
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;5;5;0;6,5;6,2;6,5
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;HAVO;;;Natuur en Gezondheid;18;15;3;6,4;6,3;6,4
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;17;14;3;6,3;6,2;6,4
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;BL;Economie;Handel en Administratie -ISP;6;6;0;6,9;7,6;7,3
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;BL;Techniek;Metaaltechniek;8;8;0;6,3;6,7;6,7
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;BL;Techniek;Voertuigentechniek;3;3;0;6,5;7,3;7,1
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;BL;Zorg & Welzijn;Verzorging;4;4;0;6,4;6,8;6,7
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;BL;Zorg & Welzijn;Zorg en Welzijn -ISP;12;12;0;6,6;7,1;6,8
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;KL;Economie;Handel en Administratie -ISP;5;5;0;6,4;6,7;6,6
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;KL;Techniek;Bouwbreed -ISP;1;1;0;6,4;6,1;6,3
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;KL;Techniek;Metaaltechniek;10;10;0;6,4;6,1;6,4
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;KL;Techniek;Voertuigentechniek;2;2;0;7,3;7,6;7,4
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;KL;Zorg & Welzijn;Verzorging;5;5;0;6,5;6,8;6,6
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;KL;Zorg & Welzijn;Zorg en Welzijn -ISP;7;6;1;6,4;6,3;6,5
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VMBO;TL;;;58;54;4;6,1;6,3;6,4
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VWO;;;Cultuur en Maatschappij;8;8;0;6,8;6,3;6,8
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VWO;;;Economie en Maatschappij;9;6;3;6,6;5,9;6,4
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;2;2;0;6,7;5,7;6,3
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VWO;;;Natuur en Gezondheid;1;1;0;6,3;6,3;6,4
00AQ;00AQ00;Zwin College SGM;SLUIS;Zeeland;VWO;;;Natuur en Techniek;3;2;1;6,7;6,4;6,7
